收寄城市,寄达城市,流量_集包,流量_大件,总流量
包头,沈阳,2,36,38
包头,南京,1,9,10
包头,合肥,1,6,7
包头,济宁,1,3,4
包头,嘉兴,1,5,6
包头,汕头,1,5,6
包头,大理州,1,3,4
包头,银川,2,33,35
包头,乌鲁木齐,1,6,7
太原,南京,5,332,337
太原,徐州,4,195,199
太原,福州,6,357,363
太原,襄阳,3,127,130
太原,柳州,2,120,122
侯马,包头,1,47,48
侯马,廊坊,1,58,59
侯马,大连,1,81,82
侯马,青岛,2,196,198
侯马,杭州,3,227,230
侯马,厦门,2,117,119
侯马,泉州,1,100,101
唐山,淮安,1,13,14
唐山,嘉兴,3,31,34
唐山,鹰潭,1,11,12
唐山,常德,2,19,21
唐山,内江,1,5,6
北京,宝鸡,5,121,126
沈阳,喀什,3,17,20
大连,廊坊,2,19,21
大连,无锡,3,28,31
大连,泉州,5,51,56
大连,武汉,8,95,103
大连,中山,4,48,52
锦州,包头,2,38,40
锦州,扬州,1,9,10
锦州,合肥,2,33,35
锦州,安庆,1,10,11
锦州,潍坊,1,33,34
锦州,宁波,1,32,33
锦州,鹰潭,1,5,6
锦州,福州,2,32,34
锦州,重庆,2,35,37
锦州,荆州,1,5,6
锦州,南充,1,12,13
锦州,西宁,1,6,7
锦州,拉萨,1,4,5
长春,湖州,3,75,78
哈尔滨,常德,4,115,119
哈尔滨,西宁,2,80,82
哈尔滨,拉萨,1,39,40
上海,潍坊,44,678,722
无锡,深圳,76,607,683
连云港,阿克苏,2,10,12
潍坊,淮安,3,40,43
潍坊,荆州,3,39,42
潍坊,阿克苏,3,39,42
烟台,无锡,6,137,143
烟台,芜湖,3,77,80
烟台,赣州,3,61,64
烟台,荆州,2,33,35
烟台,南宁,4,105,109
烟台,喀什,1,3,4
青岛,荆州,3,44,47
济宁,安庆,6,123,129
济宁,昆明,8,171,179
临沂,鹰潭,4,46,50
临沂,大理州,3,27,30
义乌,连云港,128,1059,1187
义乌,扬州,125,1031,1156
义乌,烟台,200,1651,1851
义乌,西宁,15,124,139
义乌,乌鲁木齐,54,442,496
义乌,喀什,3,20,23
鹰潭,连云港,3,27,30
鹰潭,淮安,2,17,19
鹰潭,喀什,1,8,9
赣州,呼和浩特,5,411,416
赣州,包头,2,134,136
赣州,苏州,5,420,425
赣州,淮安,1,68,69
赣州,盐城,2,115,117
赣州,济宁,3,184,187
赣州,鹰潭,2,124,126
赣州,东莞,7,586,593
赣州,内江,1,51,52
赣州,兰州,4,311,315
赣州,喀什,1,15,16
泉州,内江,3,103,106
常德,太原,6,108,114
常德,侯马,3,52,55
常德,安庆,2,39,41
常德,襄阳,4,61,65
常德,洛阳,3,50,53
衡阳,连云港,4,116,120
衡阳,湖州,5,144,149
衡阳,阿克苏,3,78,81
武汉,喀什,7,126,133
荆州,包头,4,41,45
荆州,唐山,5,49,54
荆州,潍坊,6,59,65
荆州,鹰潭,4,37,41
襄阳,包头,3,42,45
襄阳,义乌,3,59,62
襄阳,鹰潭,3,68,71
襄阳,荆州,3,45,48
漯河,喀什,1,22,23
深圳,连云港,29,94,123
深圳,泉州,85,275,360
深圳,衡阳,86,278,364
深圳,宝鸡,10,32,42
东莞,苏州,96,521,617
东莞,台州,40,213,253
东莞,喀什,6,28,34
东莞,拉萨,17,88,105
湛江,盐城,3,72,75
湛江,荆州,2,47,49
湛江,乌鲁木齐,3,66,69
南宁,唐山,4,316,320
南宁,连云港,3,180,183
南宁,安庆,4,326,330
南宁,嘉兴,5,396,401
南宁,赣州,5,434,439
南宁,喀什,1,21,22
柳州,太原,2,79,81
柳州,济宁,1,25,26
贵阳,淮安,1,29,30
海口,锦州,1,12,13
海口,芜湖,2,18,20
海口,安庆,1,17,18
海口,烟台,2,17,19
海口,大理州,2,17,19
海口,银川,1,12,13
成都,宝鸡,7,176,183
成都,喀什,2,84,86
南充,锦州,2,42,44
南充,无锡,4,59,63
南充,淮安,2,15,17
南充,安庆,3,37,40
南充,荆州,2,22,24
内江,锦州,1,18,19
内江,长春,2,62,64
内江,芜湖,1,29,30
内江,安庆,1,30,31
内江,潍坊,1,34,35
内江,嘉兴,1,38,39
内江,台州,1,37,38
内江,温州,2,52,54
内江,衡阳,2,49,51
内江,深圳,4,140,144
内江,中山,3,93,96
内江,南宁,3,129,132
内江,乌鲁木齐,1,18,19
昆明,安庆,5,104,109
大理州,济宁,1,29,30
大理州,荆州,1,17,18
大理州,信阳,2,48,50
大理州,洛阳,2,45,47
大理州,中山,3,117,120
