收寄城市,寄达城市,经转次数,路线
呼和浩特,衡阳,2,呼和浩特-太原-长沙-衡阳
呼和浩特,汕头,2,呼和浩特-太原-广州-汕头
呼和浩特,深圳,1,呼和浩特-郑州-深圳
呼和浩特,东莞,1,呼和浩特-郑州-东莞
呼和浩特,湛江,2,呼和浩特-太原-广州-湛江
呼和浩特,中山,1,呼和浩特-郑州-中山
呼和浩特,柳州,2,呼和浩特-郑州-南宁-柳州
呼和浩特,南充,2,呼和浩特-西安-重庆-南充
呼和浩特,内江,2,呼和浩特-西安-重庆-内江
呼和浩特,大理州,2,呼和浩特-西安-昆明-大理州
呼和浩特,宝鸡,1,呼和浩特-西安-宝鸡
呼和浩特,阿克苏,1,呼和浩特-西安-阿克苏
呼和浩特,喀什,2,呼和浩特-西安-阿克苏-喀什
沈阳,北京,0,沈阳-北京
沈阳,天津,0,沈阳-天津
沈阳,石家庄,0,沈阳-石家庄
沈阳,太原,0,沈阳-太原
沈阳,呼和浩特,0,沈阳-呼和浩特
沈阳,长春,0,沈阳-长春
沈阳,哈尔滨,0,沈阳-哈尔滨
沈阳,上海,1,沈阳-天津-上海
沈阳,南京,0,沈阳-南京
沈阳,杭州,0,沈阳-杭州
沈阳,合肥,1,沈阳-济南-合肥
沈阳,福州,1,沈阳-济南-福州
沈阳,南昌,1,沈阳-天津-南昌
沈阳,济南,0,沈阳-济南
沈阳,郑州,0,沈阳-郑州
沈阳,武汉,0,沈阳-武汉
沈阳,长沙,0,沈阳-长沙
沈阳,广州,0,沈阳-广州
沈阳,南宁,1,沈阳-武汉-南宁
沈阳,海口,1,沈阳-长沙-海口
沈阳,重庆,1,沈阳-石家庄-重庆
沈阳,成都,1,沈阳-西安-成都
沈阳,贵阳,1,沈阳-北京-贵阳
沈阳,昆明,1,沈阳-西安-昆明
沈阳,拉萨,2,沈阳-北京-西宁-拉萨
沈阳,西安,0,沈阳-西安
沈阳,兰州,1,沈阳-北京-兰州
沈阳,西宁,1,沈阳-北京-西宁
