收寄城市,寄达城市,运量（重量）
呼和浩特,烟台,0.0
呼和浩特,青岛,0.0
呼和浩特,济宁,0.0
呼和浩特,临沂,0.0
呼和浩特,郑州,4890.9406
呼和浩特,漯河,0.0
呼和浩特,信阳,0.0
呼和浩特,洛阳,0.0
呼和浩特,武汉,0.0
呼和浩特,荆州,0.0
呼和浩特,襄阳,0.0
呼和浩特,长沙,0.0
呼和浩特,常德,0.0
呼和浩特,衡阳,0.0
呼和浩特,广州,0.0
呼和浩特,汕头,0.0
呼和浩特,深圳,0.0
呼和浩特,东莞,0.0
呼和浩特,湛江,0.0
呼和浩特,中山,0.0
呼和浩特,南宁,0.0
呼和浩特,柳州,0.0
呼和浩特,海口,0.0
呼和浩特,重庆,0.0
呼和浩特,成都,0.0
呼和浩特,南充,0.0
呼和浩特,内江,0.0
呼和浩特,贵阳,0.0
呼和浩特,昆明,0.0
呼和浩特,大理州,0.0
呼和浩特,拉萨,0.0
呼和浩特,西安,5354.075400000001
呼和浩特,宝鸡,0.0
呼和浩特,兰州,0.0
呼和浩特,西宁,0.0
呼和浩特,银川,5617.949600000001
呼和浩特,乌鲁木齐,0.0
呼和浩特,阿克苏,0.0
呼和浩特,喀什,0.0
包头,北京,0.0
包头,天津,0.0
包头,石家庄,0.0
包头,唐山,0.0
包头,廊坊,0.0
包头,保定,0.0
包头,太原,0.0
包头,侯马,0.0
包头,呼和浩特,6013.394
包头,包头,0.0
包头,沈阳,0.0
包头,大连,0.0
包头,锦州,0.0
包头,长春,0.0
包头,哈尔滨,0.0
包头,上海,0.0
包头,南京,0.0
包头,常州,0.0
包头,无锡,0.0
包头,苏州,0.0
包头,徐州,0.0
包头,连云港,0.0
包头,淮安,0.0
包头,盐城,0.0
包头,扬州,0.0
包头,南通,0.0
包头,杭州,0.0
包头,湖州,0.0
包头,嘉兴,0.0
包头,宁波,0.0
包头,台州,0.0
包头,金华,0.0
包头,义乌,0.0
包头,温州,0.0
包头,合肥,0.0
包头,蚌埠,0.0
包头,芜湖,0.0
包头,安庆,0.0
包头,福州,0.0
包头,厦门,0.0
包头,泉州,0.0
包头,南昌,0.0
包头,鹰潭,0.0
包头,赣州,0.0
包头,济南,0.0
包头,潍坊,0.0
包头,烟台,0.0
包头,青岛,0.0
包头,济宁,0.0
包头,临沂,0.0
包头,郑州,0.0
包头,漯河,0.0
包头,信阳,0.0
包头,洛阳,0.0
包头,武汉,0.0
包头,荆州,0.0
包头,襄阳,0.0
包头,长沙,0.0
包头,常德,0.0
包头,衡阳,0.0
包头,广州,0.0
包头,汕头,0.0
包头,深圳,0.0
包头,东莞,0.0
包头,湛江,0.0
包头,中山,0.0
包头,南宁,0.0
包头,柳州,0.0
包头,海口,0.0
包头,重庆,0.0
包头,成都,0.0
包头,南充,0.0
包头,内江,0.0
包头,贵阳,0.0
包头,昆明,0.0
包头,大理州,0.0
包头,拉萨,0.0
包头,西安,0.0
包头,宝鸡,0.0
包头,兰州,0.0
包头,西宁,0.0
包头,银川,0.0
包头,乌鲁木齐,0.0
包头,阿克苏,0.0
包头,喀什,0.0
沈阳,北京,16421.667
沈阳,天津,13228.3312
