收寄城市,寄达城市,经转次数,路线,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
石家庄,宁波,1,石家庄-南京-宁波,1337.0,81,978,1059,0.2961841179060814,0.00022152888399856497
石家庄,台州,1,石家庄-南京-台州,1452.0,43,498,541,0.16432297195954745,0.00011317009088123102
石家庄,金华,1,石家庄-南京-金华,1357.0,59,675,734,0.2083580609633264,0.00015354315472610643
石家庄,义乌,1,石家庄-杭州-义乌,1319.0,20,217,237,0.06539243977771804,4.9577285654069785e-05
石家庄,温州,1,石家庄-南京-温州,1483.0,70,804,874,0.27113587418665536,0.00018282931502808857
石家庄,蚌埠,0,石家庄-蚌埠,766.0,80,936,1016,0.16280092837128157,0.0
石家庄,芜湖,1,石家庄-南京-芜湖,1007.0,46,506,552,0.11627944435786433,0.00011547114633352962
石家庄,安庆,1,石家庄-合肥-安庆,1045.0,41,473,514,0.11236053773574052,0.00010752204568013447
石家庄,厦门,1,石家庄-南昌-厦门,1871.0,93,1042,1135,0.44422607660631974,0.0002374270853053553
石家庄,泉州,1,石家庄-福州-泉州,1859.0,68,793,861,0.33482427780851665,0.00018010988585719022
石家庄,鹰潭,1,石家庄-南昌-鹰潭,1391.0,24,268,292,0.08496584501554781,6.108256291556276e-05
石家庄,赣州,1,石家庄-南昌-赣州,1616.0,43,479,522,0.17645999353612604,0.00010919554055453344
石家庄,潍坊,1,石家庄-济南-潍坊,531.0,71,836,907,0.1007479476154267,0.00018973248138498436
石家庄,烟台,1,石家庄-济南-烟台,776.0,60,691,751,0.1219090811153425,0.00015709933133420425
石家庄,青岛,1,石家庄-济南-青岛,718.0,146,1715,1861,0.279515063022771,0.0003892967451570627
石家庄,济宁,1,石家庄-济南-济宁,529.0,61,728,789,0.08731062052144009,0.00016504843198759942
石家庄,临沂,1,石家庄-济南-临沂,604.0,68,801,869,0.10979716196187989,0.0001817833807315892
石家庄,漯河,1,石家庄-郑州-漯河,595.0,113,1245,1358,0.16902507418288998,0.00028407575492922683
石家庄,信阳,1,石家庄-郑州-信阳,768.0,122,1338,1460,0.23455704159576105,0.00030541281457781386
石家庄,洛阳,1,石家庄-郑州-洛阳,539.0,87,979,1066,0.12019333049536494,0.00022299319201366408
石家庄,荆州,1,石家庄-武汉-荆州,1121.0,21,232,253,0.05932811272661474,5.2924275402867744e-05
石家庄,襄阳,1,石家庄-郑州-襄阳,811.0,45,484,529,0.089745137189972,0.00011065984856963256
石家庄,常德,1,石家庄-长沙-常德,1404.0,43,510,553,0.16241518780273262,0.00011568033319282949
石家庄,衡阳,1,石家庄-长沙-衡阳,1420.0,65,737,802,0.2382303628450668,0.00016776786115849774
石家庄,汕头,1,石家庄-福州-汕头,2169.0,101,1150,1251,0.5676115985746008,0.0002616927609841405
石家庄,深圳,1,石家庄-武汉-深圳,1954.0,141,1806,1947,0.7958384366210883,0.00040728681505685174
石家庄,东莞,1,石家庄-郑州-东莞,1914.0,114,1421,1535,0.6145889007544324,0.0003211018290253043
石家庄,湛江,1,石家庄-广州-湛江,2275.0,74,810,884,0.4206956927379736,0.0001849211836210873
石家庄,中山,1,石家庄-广州-中山,1945.0,120,1398,1518,0.6176262939514665,0.00031754565241720644
石家庄,柳州,1,石家庄-南宁-柳州,2316.0,62,649,711,0.34446298072447684,0.00014873185696220935
石家庄,南充,1,石家庄-重庆-南充,1673.0,81,885,966,0.33807064867799136,0.00020207450608367684
石家庄,内江,1,石家庄-重庆-内江,1663.0,14,157,171,0.059487094739682646,3.57709529402782e-05
石家庄,大理州,2,石家庄-西安-昆明-大理州,2628.0,33,357,390,0.2143997958336253,0.00016316575025390054
石家庄,宝鸡,1,石家庄-西安-宝鸡,979.0,25,280,305,0.062462150252645426,6.380199208646111e-05
石家庄,阿克苏,1,石家庄-兰州-阿克苏,3947.0,27,289,316,0.2609087286354846,6.610304753875971e-05
石家庄,喀什,2,石家庄-兰州-阿克苏-喀什,4422.0,7,76,83,0.076777016221395,3.472501864377883e-05
太原,北京,0,太原-北京,508.0,46,2504,2550,0.27098065753705486,0.0
太原,天津,0,太原-天津,523.0,21,1032,1053,0.11520317796676649,0.0
太原,石家庄,0,太原-石家庄,225.0,20,947,967,0.04551383091216976,0.0
太原,呼和浩特,0,太原-呼和浩特,458.0,17,694,711,0.06811919048869187,0.0
太原,沈阳,0,太原-沈阳,1183.0,14,691,705,0.17446497845898315,0.0
太原,长春,1,太原-天津-长春,1484.0,10,479,489,0.15180188330929428,0.00010229237419763765
太原,哈尔滨,1,太原-天津-哈尔滨,1744.0,15,762,777,0.2834666027949456,0.00016253818967600092
太原,上海,0,太原-上海,1357.0,12,767,779,0.2211320565264731,0.0
太原,南京,0,太原-南京,1080.0,5,332,337,0.0761356493107816,0.0
太原,杭州,0,太原-杭州,1361.0,7,425,432,0.12299183229907863,0.0
太原,合肥,0,太原-合肥,1001.0,7,379,386,0.08082687381744054,0.0
太原,福州,1,太原-郑州-福州,1834.0,6,357,363,0.1392644780840157,7.593482992585372e-05
太原,南昌,0,太原-南昌,1282.0,6,362,368,0.09868933973305664,0.0
太原,济南,0,太原-济南,548.0,22,1084,1106,0.12678564517934113,0.0
太原,郑州,0,太原-郑州,427.0,15,721,736,0.06574157264588953,0.0
太原,武汉,0,太原-武汉,941.0,17,914,931,0.1832625410136986,0.0
太原,长沙,0,太原-长沙,1233.0,8,514,522,0.13463810150373973,0.0
太原,广州,0,太原-广州,1870.0,18,1110,1128,0.44125039353277906,0.0
太原,南宁,1,太原-郑州-南宁,2092.0,6,319,325,0.1422261456379833,6.798572927245856e-05
太原,海口,1,太原-长沙-海口,2408.0,4,198,202,0.10175183535320678,4.225574557857424e-05
太原,重庆,0,太原-重庆,1303.0,6,371,377,0.10275907008073566,0.0
太原,成都,0,太原-成都,1392.0,11,650,661,0.1924753394841243,0.0
太原,贵阳,1,太原-重庆-贵阳,1690.0,7,352,359,0.12691575940582564,7.509808248865423e-05
太原,昆明,1,太原-西安-昆明,2114.0,5,273,278,0.12293744371566066,5.8153946885364554e-05
太原,拉萨,2,太原-西安-西宁-拉萨,3412.0,1,26,27,0.019271130226141454,1.1296090402193115e-05
太原,西安,0,太原-西安,621.0,26,1215,1241,0.16121215417489904,0.0
太原,兰州,1,太原-西安-兰州,1249.0,10,429,439,0.11469945600957239,9.183303123264403e-05
太原,西宁,1,太原-西安-西宁,1468.0,1,34,35,0.010748020830827449,7.321540075495538e-06
太原,银川,1,太原-呼和浩特-银川,1121.0,6,269,275,0.0644870790506682,5.752638630746494e-05
太原,乌鲁木齐,1,太原-西安-乌鲁木齐,3227.0,5,237,242,0.16336113078048664,5.0623219950569144e-05
太原,唐山,1,太原-天津-唐山,647.0,5,256,261,0.03532475736939157,5.459777027726672e-05
太原,廊坊,1,太原-石家庄-廊坊,527.0,4,212,216,0.023812158567823087,4.518436160877246e-05
